duong_di_1 = [[
-1621.4214,54.9068,3.5487,119.9397,2033.27,VEHICLE,0,0
-1622.2828,54.3420,3.5485,121.3972,2034.74,VEHICLE,0,0
-1623.1206,53.7524,3.5480,123.0372,2042.47,VEHICLE,0,0
-1623.9609,53.1445,3.5474,124.4717,2056.45,VEHICLE,0,0
-1624.7998,52.5305,3.5469,125.3873,2069.21,VEHICLE,0,0
-1625.6426,51.9075,3.5465,125.9250,2080.79,VEHICLE,0,0
-1626.4868,51.2794,3.5477,126.1800,2094.15,VEHICLE,0,0
-1627.3319,50.6428,3.5472,126.3608,2103.67,VEHICLE,0,0
-1628.1689,49.9823,3.5469,126.9623,2108.04,VEHICLE,0,0
-1628.9885,49.3023,3.5467,127.9472,2114.63,VEHICLE,0,0
-1629.8014,48.6098,3.5472,129.1468,2127.77,VEHICLE,0,0
-1630.6119,47.9103,3.5451,130.1050,2139.69,VEHICLE,0,0
-1631.4261,47.1970,3.5447,130.6127,2150.97,VEHICLE,0,0
-1632.2390,46.4754,3.5450,130.9420,2160.60,VEHICLE,0,0
-1633.0363,45.7331,3.5455,131.6562,2165.10,VEHICLE,0,0
-1633.8168,44.9688,3.5458,132.7472,2171.86,VEHICLE,0,0
-1634.5901,44.1922,3.5460,133.8499,2183.57,VEHICLE,0,0
-1635.3718,43.4021,3.5462,134.5930,2195.37,VEHICLE,0,0
-1636.1511,42.6102,3.5463,135.0298,2206.41,VEHICLE,0,0
-1636.9382,41.8074,3.5464,135.2781,2217.22,VEHICLE,0,0
-1637.7205,41.0077,3.5464,135.4157,2227.81,VEHICLE,0,0
-1638.5040,40.2056,3.5465,135.4934,2238.33,VEHICLE,0,0
-1639.2938,39.3966,3.5466,135.5376,2248.86,VEHICLE,0,0
-1640.0885,38.5824,3.5466,135.5626,2259.38,VEHICLE,0,0
-1640.8846,37.7668,3.5467,135.5766,2269.84,VEHICLE,0,0
-1641.6885,36.9435,3.5468,135.5844,2280.34,VEHICLE,0,0
-1642.4935,36.1193,3.5468,135.5888,2290.77,VEHICLE,0,0
-1643.2985,35.2958,3.5468,135.5913,2301.12,VEHICLE,0,0
-1644.1086,34.4675,3.5469,135.5929,2311.47,VEHICLE,0,0
-1644.9088,33.6211,3.5469,135.9352,2318.53,VEHICLE,0,0
-1645.7043,32.7559,3.5469,136.6154,2328.23,VEHICLE,0,0
-1646.4945,31.8922,3.5468,137.1455,2338.96,VEHICLE,0,0
-1647.2886,31.0204,3.5468,137.4720,2349.46,VEHICLE,0,0
-1648.0897,30.1380,3.5467,137.6609,2359.85,VEHICLE,0,0
-1648.8899,29.2547,3.5467,137.7676,2370.11,VEHICLE,0,0
-1649.6947,28.3648,3.5467,137.8285,2380.36,VEHICLE,0,0
-1650.4994,27.4741,3.5467,137.8628,2390.54,VEHICLE,0,0
-1651.3088,26.5773,3.5467,137.8821,2400.72,VEHICLE,0,0
-1652.1251,25.6724,3.5468,137.8928,2410.91,VEHICLE,0,0
-1652.9409,24.7673,3.5468,137.8985,2421.03,VEHICLE,0,0
-1653.7565,23.8624,3.5468,137.9014,2431.09,VEHICLE,0,0
-1654.5819,22.9465,3.5469,137.9028,2441.20,VEHICLE,0,0
-1655.4088,22.0293,3.5469,137.9035,2451.26,VEHICLE,0,0
-1656.2400,21.1078,3.5469,137.9037,2461.30,VEHICLE,0,0
-1657.0691,20.1888,3.5469,137.9039,2471.25,VEHICLE,0,0
-1657.9047,19.2631,3.5469,137.9041,2481.20,VEHICLE,0,0
-1658.7438,18.3337,3.5469,137.9042,2491.14,VEHICLE,0,0
-1659.5931,17.3932,3.5469,137.9044,2501.13,VEHICLE,0,0
